Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
B001	PB	RCA	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	200.2
B001	PB	RCA	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	200.2
B001	PB	RCA	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	200.2
B001	PB	RCB	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCB	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RCC	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCC	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RCD	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RCD	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	RDD	--	0.0033333	2006/07/13,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	20.6	0.0	0.0
B001	PB	RDO	TS	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	RE1	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	RE2	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	REO	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	RK1	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	RK2	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	RKD	--	0.0033333	2006/07/13,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	20.6	0.0	0.0
B001	PB	RKD	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	0.0
B001	PB	RRO	TS	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	RS1	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	200.2
B001	PB	RS2	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	RS3	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	RS4	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	UDD	--	0.0166670	2005/06/21,00:00:00	2006/07/13,23:59:59	48.04307	-123.13141	237.0	20.6	0.0	0.0
B001	PB	UKD	--	0.0166670	2005/06/21,00:00:00	2006/07/13,23:59:59	48.04307	-123.13141	237.0	20.6	0.0	0.0
B001	PB	VCO	--	0.1000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	VEA	--	0.1000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	VEC	--	0.1000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	VEP	--	0.1000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	VKI	--	0.1000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	VPB	--	0.1000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B003	PB	BS1	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	BS2	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	BS3	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	BS4	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	EH1	--	100.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	239.0
B003	PB	EH2	--	100.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	329.0
B003	PB	EHZ	--	100.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	-90.0	0.0
B003	PB	LCC	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	LCE	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	LCL	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	LCQ	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	LDD	--	1.0000000	2009/11/24,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	50.3	0.0	0.0
B003	PB	LDO	--	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	LH1	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	239.0
B003	PB	LH2	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	329.0
B003	PB	LHZ	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	-90.0	0.0
B003	PB	LKD	--	1.0000000	2009/11/24,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	50.3	0.0	0.0
B003	PB	LPL	--	1.0000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	LS1	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	LS2	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	LS3	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	LS4	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	QBD	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QBP	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QDL	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QDR	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QG1	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QGD	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QLD	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QRD	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QRT	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	QWD	--	0.0500000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	RCA	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCA	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RCB	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T6	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T7	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCB	T8	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RCC	T0	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T1	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T2	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T3	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T4	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RCC	T5	0.0002778	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
