Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
BABI	BK	LEB	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LED	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LEO	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LEP	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LHE	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	90.0
BABI	BK	LHN	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LHZ	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	-90.0	0.0
BABI	BK	LIO	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LKO	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LNE	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	90.0
BABI	BK	LNN	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	LNZ	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	-90.0	0.0
BABI	BK	LYV	0	1.0000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	VME	0	0.1000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	90.0
BABI	BK	VMN	0	0.1000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	0.0	0.0
BABI	BK	VMZ	0	0.1000000	2019/05/23,00:00:00	3000/01/01,00:00:00	36.51579	-120.85301	571.2	0.0	-90.0	0.0
BARR	BK	BHE	0	40.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	90.0
BARR	BK	BHN	0	40.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	0.0
BARR	BK	BHZ	0	40.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	-90.0	0.0
BARR	BK	HHE	0	100.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	90.0
BARR	BK	HHN	0	100.0000000	2019/10/03,00:00:00	3000/01/01,00:00:00	39.30477	-123.19748	264.7	3.4	0.0	0.0
