ME43 ME44 ME45 ME52 ME46  
Threshhold: 8 
013 080311 20 2544.325 0.10383 
013 080312 4 3243.700 0.09601 
013 080312 6 2712.600 0.10176 
013 080312 7 1966.375 0.14605 
013 080312 10 2968.100 0.12183 
013 080312 12 2647.475 0.13395 
013 080312 15 1928.375 0.10069 
013 080312 18  2.475 0.18611 
013 080312 21 283.675 0.10635 
013 080312 21 1182.050 0.11128 
013 080312 22 1205.075 0.11367 
013 080313 1 1743.575 0.12473 
013 080313 2 81.400 0.10201 
013 080313 2 122.625 0.11155 
013 080313 2 2353.600 0.11710 
013 080313 2 2376.725 0.09809 
013 080313 6 1239.000 0.14136 
013 080313 7 459.550 0.10492 
013 080313 7 2610.950 0.14358 
013 080313 8 92.925 0.13312 
013 080313 8 1307.475 0.11807 
013 080313 8 1335.725 0.12310 
013 080313 8 1451.500 0.10021 
013 080313 8 1512.800 0.11379 
013 080313 8 1650.675 0.11869 
013 080313 8 2228.750 0.09795 
013 080313 8 3356.800 0.12572 
013 080313 8 3360.350 0.10209 
013 080313 9 739.075 0.17895 
013 080313 9 2420.225 0.15844 
013 080313 9 2819.575 0.10124 
013 080313 10 3494.400 0.10890 
013 080313 11 217.400 0.15976 
013 080313 11 1104.425 0.10437 
013 080313 11 2379.875 0.47393 
013 080313 12 1394.275 0.09781 
013 080313 12 3139.050 0.10759 
013 080313 14 980.450 0.12165 
013 080313 14 1973.775 0.09836 
013 080313 14 3031.975 0.09686 
013 080313 15 3042.275 0.10149 
013 080313 15 3197.675 0.10817 
013 080313 18 3316.225 0.10758 
013 080313 19 1513.700 0.11571 
013 080313 20 3339.600 0.09747 
013 080313 20 3340.650 0.11163 
013 080313 20 3519.175 0.12448 
013 080313 22 1086.500 0.14679 
013 080313 22 1205.825 0.10246 
013 080314 1 1008.750 0.09462 
013 080314 2 2303.875 0.18377 
013 080314 2 3150.500 0.12190 
013 080314 6 753.750 0.09927 
013 080314 6 3109.550 0.14754 
013 080314 6 3110.775 0.10377 
013 080314 7 1868.275 0.09927 
013 080314 7 3452.075 0.13607 
013 080314 8 1552.775 0.13686 
013 080314 8 3453.850 0.12713 
013 080314 11 2329.650 0.10844 
013 080314 11 2906.050 0.09693 
013 080314 12 1846.150 0.12244 
013 080314 12 2196.925 0.09631 
013 080314 17 1635.250 0.09913 
013 080314 17 1754.025 0.10956 
013 080314 17 2774.975 0.10489 
013 080314 18 2608.575 0.09580 
013 080314 20 3121.125 0.10087 
013 080315 3 3543.200 0.12826 
013 080315 5 3089.300 0.10935 
013 080315 8 1452.625 0.09066 
013 080315 13 83.900 0.12476 
013 080315 14 1940.600 0.13544 
013 080315 16 2941.900 0.10070 
013 080315 19 804.975 0.18959 
013 080315 21 2162.175 0.09078 
013 080315 21 2242.300 0.09290 
013 080315 22 2821.200 0.13968 
013 080316 2 1225.800 0.09006 
013 080316 5 3447.300 0.10000 
013 080316 9 1593.575 0.12022 
013 080316 9 2772.250 0.11780 
013 080316 14 1789.100 0.09270 
013 080316 19 1553.225 0.10548 
013 080316 22 2715.825 0.08990 
013 080317 7 270.725 0.08882 
013 080317 7 3424.500 0.24023 
013 080317 10 2232.550 0.09027 
013 080317 13 1905.625 0.09452 
013 080317 15 1601.900 0.08736 
013 080317 15 1630.275 0.15182 
013 080317 16 3148.075 0.10780 
013 080317 19 2028.350 0.10384 
013 080317 19 2301.775 0.11496 
013 080317 20 2236.025 0.09185 
013 080317 20 2237.775 0.15976 
013 080317 21 53.550 0.08842 
013 080317 23 122.975 0.10487 
013 080318 4 1926.875 0.12211 
013 080318 10 2258.725 0.10740 
013 080318 14 105.725 0.15523 
013 080318 14 2494.375 0.11960 
013 080318 15 2336.800 0.11387 
013 080318 18 3059.600 0.15205 
013 080318 18 3128.750 0.17651 
013 080318 21 2920.850 0.13075 
013 080319 1 3324.400 0.09983 
013 080319 6 1699.475 0.14250 
013 080319 6 1965.400 0.11875 
013 080319 8 1681.825 0.10076 
013 080319 10 625.550 0.09679 
013 080319 11 323.400 0.09715 
013 080319 13 754.300 0.11329 
013 080319 13 2390.875 0.09897 
013 080319 15 1000.075 0.11025 
013 080319 15 1754.500 0.16305 
013 080319 18 561.400 0.09632 
013 080319 19 1991.750 0.09724 
013 080319 20 2463.025 0.09572 
013 080319 22 3193.500 0.10090 
013 080319 23 2092.850 0.09810 
013 080320 1 875.450 0.11050 
013 080320 2 129.100 0.11478 
013 080320 2 612.825 0.10607 
013 080320 5 1811.925 0.09669 
013 080320 6 1116.325 0.10789 
013 080320 6 2010.900 0.18196 
013 080320 6 2956.800 0.10377 
013 080320 14 2663.225 0.10630 
013 080320 17 1190.550 0.12409 
013 080320 17 1193.450 0.10857 
013 080320 18 638.275 0.11183 
013 080320 18 1194.225 0.15593 
013 080320 20 2792.600 0.12115 
013 080320 20 3555.900 0.09609 
013 080320 21 2437.875 0.22803 
013 080320 22 2704.325 0.11401 
013 080320 22 2821.350 0.12267 
013 080320 23 33.925 0.09645 
013 080320 24 1209.025 0.10018 
013 080320 24 2739.750 0.13760 
013 080320 24 3117.475 0.10728 
013 080320 24 3331.275 0.12827 
013 080321 1 3423.775 0.09875 
013 080321 2 1961.725 0.09885 
013 080321 5 995.675 0.11991 
013 080321 8 553.250 0.11373 
013 080321 8 1218.275 0.10373 
013 080321 8 1219.900 0.11072 
013 080321 11 774.075 0.11132 
013 080321 11 776.425 0.10212 
013 080321 11 1067.975 0.17405 
013 080321 23 2593.700 0.15287 
