ME43 ME44 ME45 ME52 ME46  
Threshhold: 8 
013 080411 5 819.175 0.08886 
013 080411 5 2263.675 0.11639 
013 080411 6 2162.350 0.11050 
013 080411 9 1978.350 0.13175 
013 080411 10 2436.650 0.10478 
013 080411 11 649.700 0.17565 
013 080411 11 3497.125 0.10934 
013 080411 11 3541.425 0.10045 
013 080411 14 2187.150 0.09893 
013 080411 16 2082.475 0.09008 
013 080411 18 1213.250 0.08856 
013 080411 19 2556.625 0.09078 
013 080411 21 1947.850 0.10523 
013 080411 21 2627.275 0.13015 
013 080412 4 1370.575 0.11010 
013 080412 5 200.925 0.09890 
013 080412 6 3145.150 0.11402 
013 080412 8 1396.500 0.14810 
013 080412 10 713.325 0.11350 
013 080412 11 3546.225 0.12580 
013 080412 12 1635.725 0.10499 
013 080412 13 3363.525 0.12238 
013 080412 15 2076.025 0.11824 
013 080412 16 3455.125 0.10229 
013 080412 18 265.475 0.10199 
013 080412 22 726.550 0.11558 
013 080412 22 1918.800 0.11768 
013 080412 23 114.850 0.11955 
013 080412 23 2390.200 0.10152 
013 080413 2 1917.575 0.10715 
013 080413 3 2018.525 0.10480 
013 080413 5 1464.825 0.10312 
013 080413 5 1814.050 0.09937 
013 080413 6 891.800 0.11659 
013 080413 6 1010.900 0.10463 
013 080413 9 2469.950 0.12649 
013 080413 11 830.400 0.17518 
013 080413 17 141.525 0.13814 
013 080413 19 3088.650 0.09894 
013 080413 20 901.650 0.09805 
013 080413 20 3178.900 0.13904 
013 080414 1 766.000 0.09726 
013 080414 1 2724.075 0.12721 
013 080414 5 1443.425 0.09269 
013 080414 5 2504.800 0.09844 
013 080414 10 1040.275 0.12921 
013 080414 11 39.025 0.09685 
013 080414 11 2530.225 0.09096 
013 080414 11 3463.100 0.23796 
013 080414 12 3246.250 0.12729 
013 080414 14 3255.575 0.10194 
013 080414 15 1301.700 0.11520 
013 080414 18 1794.300 0.10834 
013 080414 24 167.700 0.18692 
013 080415 1 2054.825 0.09158 
013 080415 2 2156.425 0.09389 
013 080415 4 1256.325 0.14438 
013 080415 4 1396.000 0.09814 
013 080415 7 1315.825 0.10103 
013 080415 7 1317.350 0.10482 
013 080415 7 1970.300 0.09463 
013 080415 11 3447.725 0.11193 
013 080415 14 3060.575 0.14785 
013 080415 18 743.925 0.18200 
013 080415 19 1658.700 0.10851 
013 080415 19 2878.450 0.09949 
013 080416 2 2945.225 0.09317 
013 080416 3 1244.900 0.11690 
013 080416 5 305.300 0.15319 
013 080416 5 435.475 0.08933 
013 080416 9 2395.100 0.10213 
013 080416 10 817.600 0.09313 
013 080416 11 629.250 0.10613 
013 080416 11 870.350 0.10382 
013 080416 11 3228.475 0.10404 
013 080416 11 3371.675 0.11333 
013 080416 12 2066.750 0.13183 
013 080416 14 3159.425 0.09002 
013 080416 15 721.775 0.17675 
013 080416 17 1187.625 0.10045 
013 080416 17 1316.275 0.09282 
013 080416 19 593.975 0.10745 
013 080416 19 932.600 0.08905 
013 080416 21 299.250 0.09766 
013 080417 1 513.475 0.11043 
013 080417 7 816.125 0.08957 
013 080417 7 1716.475 0.19219 
013 080417 7 2049.300 0.11648 
013 080417 7 2211.150 0.09486 
013 080417 7 2656.900 0.09132 
013 080417 9 1839.150 0.10306 
013 080417 10 355.100 0.09774 
013 080417 10 1587.925 0.10037 
013 080417 11 1054.975 0.12329 
013 080417 11 1811.000 0.11197 
013 080417 12 1025.450 0.12553 
013 080417 13 1540.725 0.15325 
013 080417 15 1783.400 0.11238 
013 080417 16 268.400 0.08968 
013 080417 24 1459.500 0.09174 
013 080418 4 951.775 0.17425 
013 080418 6 445.400 0.09343 
013 080418 6 3230.825 0.10294 
013 080418 7 289.825 0.08845 
013 080418 10 3237.575 0.11616 
013 080418 12 1893.250 0.10391 
013 080418 14 1869.175 0.09536 
013 080418 14 3568.750 0.09715 
013 080418 15 1395.650 0.08889 
013 080418 16 2054.400 0.09831 
013 080418 16 3192.925 0.08986 
013 080418 16 3240.500 0.09628 
013 080418 21 14.775 0.08856 
013 080418 21 1158.350 0.12318 
013 080418 21 2284.025 0.23948 
013 080418 23 820.250 0.09213 
013 080418 23 3101.425 0.08812 
013 080419 2 1757.000 0.13418 
013 080419 2 1868.350 0.09475 
013 080419 4 759.450 0.10296 
013 080419 5 2106.275 0.09744 
013 080419 6 1788.750 0.09002 
013 080419 12 1564.525 0.09190 
013 080419 16 3235.100 0.13808 
013 080419 20 1893.575 0.10646 
013 080419 24  1.525 0.17040 
013 080420 8 571.250 0.10069 
013 080420 8 2938.350 0.10452 
013 080420 8 3575.425 0.11243 
013 080420 10 1623.500 0.09917 
013 080420 11 2163.000 0.09660 
013 080420 11 2381.075 0.09234 
013 080420 12 1974.300 0.10859 
013 080420 13 1118.250 0.14202 
013 080420 13 2295.375 0.09721 
013 080420 16 1975.875 0.10908 
013 080420 17 1912.875 0.11214 
013 080420 23 212.350 0.11388 
013 080421 2 2623.900 0.18039 
013 080421 4 1317.150 0.12092 
013 080421 5 1109.475 0.10099 
013 080421 6 2709.250 0.10108 
013 080421 6 2767.225 0.12890 
013 080421 6 3587.300 0.10937 
013 080421 9 2015.200 0.09927 
013 080421 13 1914.725 0.10083 
013 080421 16 1408.000 0.11841 
013 080421 20 1342.200 0.11134 
013 080421 21 1321.775 0.11686 
013 080421 23 881.600 0.11448 
013 080421 23 1799.900 0.10650 
013 080421 23 3086.150 0.16773 
013 080421 24 807.825 0.10169 
013 080422 1 1692.650 0.13521 
013 080422 2 694.600 0.10138 
013 080422 3 1103.650 0.10631 
013 080422 4 15.575 0.10251 
013 080422 4 126.425 0.11115 
013 080422 4 424.450 0.11017 
013 080422 4 589.075 0.09704 
013 080422 4 1247.050 0.13566 
013 080422 4 3453.775 0.13536 
013 080422 6 528.025 0.20092 
013 080422 7 3137.625 0.10112 
013 080422 8 2364.100 0.11740 
013 080422 9 1315.725 0.10358 
013 080422 10 2221.325 0.12694 
013 080422 11 1600.225 0.10044 
013 080422 15 1839.475 0.10327 
013 080422 19 997.625 0.16072 
013 080422 20 3597.800 0.10910 
013 080422 23 2599.950 0.09712 
013 080423 2 1534.950 0.12013 
013 080423 2 2087.550 0.10030 
013 080423 3 3213.200 0.10494 
013 080423 6 224.600 0.10512 
013 080423 6 2355.725 0.16645 
013 080423 8 2446.500 0.21015 
013 080423 8 3170.075 0.10835 
013 080423 9 2618.100 0.10208 
013 080423 9 2620.025 0.11345 
013 080423 9 2840.975 0.09907 
013 080423 9 2842.725 0.09542 
013 080423 9 3594.300 0.19898 
013 080423 11 429.825 0.14453 
013 080423 12 691.250 0.09660 
013 080423 12 1538.600 0.10046 
013 080423 18 593.100 0.09476 
013 080423 18 1524.675 0.14356 
013 080423 18 3486.150 0.14622 
013 080423 20 2027.050 0.16260 
013 080423 24 2822.500 0.09481 
013 080424 3 2175.800 0.11971 
013 080424 5 1871.550 0.10047 
013 080424 8 1697.925 0.09894 
013 080424 12 375.300 0.11302 
013 080424 12 3505.675 0.10638 
013 080424 13 1425.400 0.09632 
013 080424 13 2326.525 0.09835 
013 080424 17 1029.800 0.11354 
013 080424 18 1381.300 0.14064 
013 080424 18 2307.375 0.13096 
013 080424 19 3422.750 0.10359 
013 080424 20 706.525 0.12398 
013 080425 3 1655.325 0.10652 
013 080425 8 2642.000 0.14883 
013 080425 9 323.600 0.10435 
013 080425 10 2373.100 0.12085 
013 080425 13 307.350 0.16467 
013 080425 13 924.275 0.19878 
013 080425 13 3424.250 0.14113 
013 080425 15 1465.100 0.14884 
013 080425 21 3392.625 0.10095 
013 080425 24 3533.650 0.11359 
013 080426 3 1462.525 0.15654 
013 080426 4 979.000 0.15628 
013 080426 4 1510.625 0.10242 
013 080426 5 1994.475 0.11120 
013 080426 8 231.125 0.12599 
013 080426 11 2794.950 0.10301 
013 080426 13 1190.450 0.10001 
013 080426 17 1436.600 0.10065 
013 080426 19 3500.175 0.10755 
013 080426 21 2479.825 0.29414 
013 080426 22 453.725 0.14109 
013 080426 22 3381.075 0.10030 
013 080427 1 458.500 0.10396 
013 080427 1 2902.350 0.10075 
013 080427 5 387.075 0.15970 
013 080427 6 2768.675 0.12567 
013 080427 10 1799.850 0.11413 
013 080427 11 3097.300 0.10581 
013 080427 14 26.400 0.11451 
013 080427 14 416.050 0.14481 
013 080427 14 969.525 0.20045 
013 080427 14 1164.425 0.16339 
013 080427 14 1270.250 0.09940 
013 080427 14 1578.325 0.11143 
013 080427 14 2558.750 0.11241 
013 080427 14 3106.400 0.12953 
013 080427 14 3111.325 0.18691 
013 080427 15 723.250 0.13604 
013 080427 15 1042.825 0.11270 
013 080427 15 1152.525 0.11245 
013 080427 15 2901.800 0.19390 
013 080427 16 1329.525 0.12245 
013 080427 18 2414.450 0.10348 
013 080427 19 1065.100 0.10069 
013 080428 1 421.800 0.10872 
013 080428 6 1887.075 0.15403 
013 080428 7 428.650 0.12276 
013 080428 8 899.125 0.11433 
013 080428 8 901.500 0.10636 
013 080428 10 121.250 0.14418 
013 080428 11 1500.725 0.11972 
013 080428 11 2902.400 0.09510 
013 080428 12 3304.900 0.12561 
013 080428 13 352.150 0.09498 
013 080428 14 1193.975 0.12494 
013 080428 16 939.825 0.10756 
013 080428 20 315.450 0.16123 
013 080428 21 837.625 0.10074 
013 080428 21 1620.625 0.09623 
013 080429 6 521.225 0.09570 
013 080429 6 3210.475 0.10896 
013 080429 7 572.550 0.10944 
013 080430 2 3488.800 0.12150 
013 080430 4 3584.825 0.11066 
013 080430 5 19.175 0.10222 
013 080430 5 34.650 0.12401 
013 080430 5 326.950 0.11476 
013 080430 5 328.075 0.10255 
013 080430 7 1478.925 0.10241 
013 080430 7 1532.900 0.09567 
013 080430 11 3026.550 0.09239 
013 080430 13 1772.450 0.12956 
013 080430 15 3289.100 0.09267 
